item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q78606,Robert Fuchs,Austrian composer and music teacher,M00000237421
http://www.wikidata.org/entity/Q78704,Hanns Eisler,Austrian composer (1898–1962),M00000237225
http://www.wikidata.org/entity/Q78918,Clemens Krauss,Austrian conductor,M00000248386
http://www.wikidata.org/entity/Q80285,Ann Hampton Callaway,American singer,M00000092546
http://www.wikidata.org/entity/Q83326,Béla Bartók,Hungarian composer and pianist,M00000235907
http://www.wikidata.org/entity/Q83906,Basil Poledouris,"Greek-American composer, conductor, and orchestrator of film and television scores (1945-2006)",M00000059143
http://www.wikidata.org/entity/Q84114,John Adams,American composer,M00000000022
http://www.wikidata.org/entity/Q84114,John Adams,American composer,M00000002199
http://www.wikidata.org/entity/Q84376,Friedrich Dotzauer,German composer,M00000237095
http://www.wikidata.org/entity/Q86557,Kurt Schwertsik,Austrian composer,M00000239406
http://www.wikidata.org/entity/Q87287,Bernhard Fleischmann,Austrian musician,M00000111219
http://www.wikidata.org/entity/Q87567,Anton Rubinstein,"Russian pianist, composer and conductor",M00000239227
http://www.wikidata.org/entity/Q87953,Bruno Granichstaedten,Austrian composer (1879-1944),M00000276568
http://www.wikidata.org/entity/Q88524,Heinrich Hübler,German composer,M00000529676
http://www.wikidata.org/entity/Q89540,Erwin Schulhoff,Czech composer and pianist (1894-1942),M00000239383
http://www.wikidata.org/entity/Q90682,Robert Henke,German electronic musician,M00000199985
http://www.wikidata.org/entity/Q93672,Paul Badura-Skoda,Austrian musician (1927-2019),M00000000288
http://www.wikidata.org/entity/Q97445,Herbert Rehbein,"German songwriter, composer, music arranger",M00000027966
http://www.wikidata.org/entity/Q97973,Erik Silvester,German composer and singer,M00000026360
http://www.wikidata.org/entity/Q106225,Jean Yanne,French actor (1933-2003),M00000051806
http://www.wikidata.org/entity/Q109612,Thelonious Monk,American jazz pianist and composer (1917–1982),M00000019825
http://www.wikidata.org/entity/Q111572,Stephen Trask,American composer,M00000180827
http://www.wikidata.org/entity/Q112441,Rolf Julius,German artist (1939-2011),M00000269991
http://www.wikidata.org/entity/Q113243,D.Kay,Austrian musician,M00000212125
http://www.wikidata.org/entity/Q114255,Johann Steffens,German musician,M00000285396
